Java HotSpot(TM) 64-Bit Server VM (25.211-b12) for bsd-amd64 JRE (1.8.0_211-b12), built on Apr  1 2019 20:53:18 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(93448k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=314572800 -XX:MaxHeapSize=314572800 -XX:MaxNewSize=209715200 -XX:MaxTenuringThreshold=15 -XX:NewSize=209715200 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=209715200 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=2 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
30.129: [GC (Allocation Failure) 30.129: [ParNew: 96257K->32594K(153600K), 0.0281519 secs] 96257K->32594K(256000K), 0.0282478 secs] [Times: user=0.18 sys=0.01, real=0.03 secs] 
73.755: [GC (Allocation Failure) 73.755: [ParNew: 94278K->10240K(153600K), 0.0021405 secs] 96319K->12280K(256000K), 0.0023000 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
74.768: [GC (Allocation Failure) 74.768: [ParNew: 104518K->20480K(153600K), 0.0034541 secs] 106559K->22520K(256000K), 0.0035635 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
75.786: [GC (Allocation Failure) 75.786: [ParNew: 114771K->30720K(153600K), 0.0051447 secs] 116812K->32760K(256000K), 0.0052393 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
Heap
 par new generation   total 153600K, used 43349K [0x00000007ad400000, 0x00000007b9c00000, 0x00000007b9c00000)
  eden space 102400K,  12% used [0x00000007ad400000, 0x00000007ae055660, 0x00000007b3800000)
  from space 51200K,  60% used [0x00000007b6a00000, 0x00000007b8800030, 0x00000007b9c00000)
  to   space 51200K,   0% used [0x00000007b3800000, 0x00000007b3800000, 0x00000007b6a00000)
 concurrent mark-sweep generation total 102400K, used 2040K [0x00000007b9c00000, 0x00000007c0000000, 0x00000007c0000000)
 Metaspace       used 8778K, capacity 9074K, committed 9344K, reserved 1056768K
  class space    used 1018K, capacity 1097K, committed 1152K, reserved 1048576K
